,LapTimeZScore,IsPitLap,Compound,TyreLife,FreshTyre,LapNumber,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,CompoundNumeric
792,-0.12155224857612183,False,C2,11,False,51,30.5,46,990.0,False,37.2,95,4.6,2
793,-0.2706268264080266,False,C2,12,False,52,30.6,46,990.0,False,38.1,106,4.8,2
794,-0.2702880205493177,False,C2,13,False,53,30.6,46,990.0,False,38.1,105,5.3,2
795,-0.28282383732154487,False,C2,14,False,54,30.5,45,989.9,False,37.9,99,4.4,2
796,-0.294343236517647,False,C2,15,False,55,30.3,45,990.0,False,37.9,102,4.6,2
797,-0.09478658573812149,False,C2,16,False,56,30.1,46,990.0,False,37.7,107,7.8,2
798,0.0,True,C3,1,True,1,28.9,52,991.5,False,34.6,92,3.9,3
799,0.5006634324300527,False,C3,1,True,1,28.9,52,991.5,False,34.6,92,3.9,3
800,-0.31642336348951156,False,C3,2,True,2,28.9,51,991.5,False,34.6,149,4.1,3
801,-0.40033428116307673,False,C3,3,True,3,28.9,50,991.5,False,34.7,105,4.5,3
802,-0.4023671163153284,False,C3,4,True,4,29.0,50,991.5,False,34.7,106,5.8,3
803,0.8908548463764374,True,C3,5,True,5,29.0,50,991.5,False,34.6,103,7.0,3
804,1.8278789162789424,False,C3,1,True,6,28.8,50,991.4,False,34.8,101,6.1,3
805,-0.49610340389145124,False,C3,2,True,7,28.9,50,991.5,False,35.2,113,5.3,3
806,-0.40790094534090743,False,C3,3,True,8,28.9,50,991.2,False,35.3,106,5.3,3
807,-0.3951392579962066,False,C3,4,True,9,29.1,50,991.2,False,35.4,104,6.8,3
808,-0.411740745072942,False,C3,5,True,10,29.2,51,991.4,False,35.8,104,6.0,3
809,-0.3850880175211769,False,C3,6,True,11,29.2,50,991.2,False,36.0,112,3.2,3
810,-0.38689498210095813,False,C3,7,True,12,29.3,48,991.4,False,36.0,106,4.9,3
811,-0.31800445749681916,False,C3,8,True,13,29.5,49,991.0,False,36.4,94,4.4,3
812,-0.4109501980692874,False,C3,9,True,14,29.4,49,991.0,False,36.4,103,7.0,3
813,-0.40191537517038434,False,C3,10,True,15,29.5,50,991.0,False,36.2,94,6.8,3
814,-0.35041688464663534,False,C3,11,True,16,29.5,50,991.0,False,36.0,107,4.4,3
