Circuit,Strategy,MeanZScore,TotalPitTime,NumStops,CompoundsCardinal,CompoundsNumeric
Montreal,"[13, 48]",-0.19004160165786743,59.98693352681022,2,"['SOFT', 'HARD', 'HARD']","[6, 4, 4]"
Montreal,"[13, 48]",-0.19004160165786743,63.60445860530551,2,"['MEDIUM', 'HARD', 'HARD']","[5, 4, 4]"
Monza,[22],0.018539872020483017,20.92353044575893,1,"['SOFT', 'HARD']","[5, 3]"
Monza,[22],0.018539872020483017,22.80173902022903,1,"['MEDIUM', 'HARD']","[4, 3]"
Monza,[21],0.019199397414922714,22.180499302462444,1,"['SOFT', 'HARD']","[5, 3]"
Monza,[21],0.019199397414922714,22.174123000307716,1,"['MEDIUM', 'HARD']","[4, 3]"
Monza,[29],0.019426727667450905,21.359716673840026,1,"['MEDIUM', 'HARD']","[4, 3]"
Monza,[29],0.019426727667450905,22.130406503115832,1,"['SOFT', 'HARD']","[5, 3]"
Monza,[23],0.02021144889295101,21.448375806512804,1,"['MEDIUM', 'HARD']","[4, 3]"
Monza,[23],0.02021144889295101,21.851267089955275,1,"['SOFT', 'HARD']","[5, 3]"
Monza,[28],0.020556949079036713,22.7533787231808,1,"['SOFT', 'HARD']","[5, 3]"
Monza,[28],0.020556949079036713,22.335319554679145,1,"['MEDIUM', 'HARD']","[4, 3]"
Melbourne,"[20, 38]",-0.007674957159906626,55.546511051697834,2,"['MEDIUM', 'HARD', 'HARD']","[4, 3, 3]"
Melbourne,"[19, 38]",-0.007674957159906626,44.526416496641204,2,"['HARD', 'MEDIUM', 'HARD']","[3, 4, 3]"
Melbourne,"[19, 38]",-0.007674957159906626,54.26550235892472,2,"['MEDIUM', 'HARD', 'HARD']","[4, 3, 3]"
Melbourne,"[19, 38]",-0.007674957159906626,45.09932887624754,2,"['HARD', 'HARD', 'MEDIUM']","[3, 3, 4]"
Melbourne,"[19, 38]",-0.007674957159906626,47.629073072070625,2,"['MEDIUM', 'HARD', 'MEDIUM']","[4, 3, 4]"
Melbourne,"[19, 38]",-0.007674957159906626,51.77938497228584,2,"['MEDIUM', 'MEDIUM', 'HARD']","[4, 4, 3]"
Melbourne,"[19, 38]",-0.007674957159906626,30.094624422985746,2,"['HARD', 'MEDIUM', 'MEDIUM']","[3, 4, 4]"
Melbourne,"[20, 38]",-0.007674957159906626,37.5577114905037,2,"['MEDIUM', 'MEDIUM', 'HARD']","[4, 4, 3]"
Melbourne,"[20, 38]",-0.007674957159906626,48.452110118299515,2,"['MEDIUM', 'HARD', 'MEDIUM']","[4, 3, 4]"
Melbourne,"[20, 38]",-0.007674957159906626,36.0305851459911,2,"['HARD', 'MEDIUM', 'MEDIUM']","[3, 4, 4]"
Spielberg,"[19, 42]",-0.004485673562720226,52.41355342002694,2,"['MEDIUM', 'MEDIUM', 'SOFT']","[4, 4, 5]"
Spielberg,"[19, 41]",-0.004384693741810091,46.13354570011578,2,"['MEDIUM', 'MEDIUM', 'SOFT']","[4, 4, 5]"
Spielberg,"[19, 43]",-0.00436284687535204,49.439785753781194,2,"['MEDIUM', 'MEDIUM', 'SOFT']","[4, 4, 5]"
Spielberg,"[23, 45]",-0.0042926506853995594,49.07834228176374,2,"['MEDIUM', 'MEDIUM', 'SOFT']","[4, 4, 5]"
Spielberg,"[22, 44]",-0.004251438927839208,47.44398989282175,2,"['MEDIUM', 'MEDIUM', 'SOFT']","[4, 4, 5]"
Spielberg,"[21, 43]",-0.004237196565513177,56.280187349170276,2,"['MEDIUM', 'MEDIUM', 'SOFT']","[4, 4, 5]"
Spielberg,"[19, 44]",-0.0042064837216014995,48.214191866942926,2,"['MEDIUM', 'MEDIUM', 'SOFT']","[4, 4, 5]"
Spielberg,"[23, 44]",-0.004189359073374899,60.55604047563861,2,"['MEDIUM', 'MEDIUM', 'SOFT']","[4, 4, 5]"
Spielberg,"[20, 42]",-0.004182341890937322,47.84166542906206,2,"['MEDIUM', 'MEDIUM', 'SOFT']","[4, 4, 5]"
Spielberg,"[22, 43]",-0.004175116711048855,52.12056544223394,2,"['MEDIUM', 'MEDIUM', 'SOFT']","[4, 4, 5]"
Sakhir,[26],-0.17879202961921692,21.848670689746566,1,"['MEDIUM', 'SOFT']","[2, 3]"
Sakhir,[26],-0.17879202961921692,28.141161192869077,1,"['SOFT', 'MEDIUM']","[3, 2]"
Sakhir,[25],-0.17851607501506805,30.514514730382494,1,"['SOFT', 'MEDIUM']","[3, 2]"
Sakhir,[25],-0.17851607501506805,19.59376814482077,1,"['MEDIUM', 'SOFT']","[2, 3]"
Sakhir,[27],-0.17826354503631592,23.204125874912034,1,"['MEDIUM', 'SOFT']","[2, 3]"
Sakhir,[27],-0.17826354503631592,23.231353919855934,1,"['SOFT', 'MEDIUM']","[3, 2]"
Sakhir,[24],-0.17816001176834106,29.07699152704583,1,"['MEDIUM', 'SOFT']","[2, 3]"
Sakhir,[24],-0.17816001176834106,27.043342549457254,1,"['SOFT', 'MEDIUM']","[3, 2]"
Sakhir,[23],-0.17780396342277527,27.08849056689184,1,"['SOFT', 'MEDIUM']","[3, 2]"
Sakhir,[23],-0.17780396342277527,28.627544313700927,1,"['MEDIUM', 'SOFT']","[2, 3]"
Imola,[33],0.11667156964540482,18.48040244108016,1,"['HARD', 'SOFT']","[4, 6]"
Imola,[33],0.11667156964540482,19.356594612942644,1,"['HARD', 'MEDIUM']","[4, 5]"
Imola,[35],0.11689982563257217,23.569792655108188,1,"['HARD', 'SOFT']","[4, 6]"
Imola,[35],0.11689982563257217,21.89031494870944,1,"['HARD', 'MEDIUM']","[4, 5]"
Imola,[34],0.11705996096134186,19.18514687506549,1,"['HARD', 'SOFT']","[4, 6]"
Imola,[34],0.11705996096134186,19.71065235808623,1,"['HARD', 'MEDIUM']","[4, 5]"
Imola,[32],0.11756299436092377,24.052144351422577,1,"['HARD', 'SOFT']","[4, 6]"
Imola,[32],0.11756299436092377,25.58291024150689,1,"['HARD', 'MEDIUM']","[4, 5]"
Imola,[31],0.11884171515703201,21.792224372854395,1,"['HARD', 'SOFT']","[4, 6]"
Imola,[31],0.11884171515703201,25.99780447924801,1,"['HARD', 'MEDIUM']","[4, 5]"
Baku,"[23, 43]",0.15384910381097755,46.58681944361733,2,"['HARD', 'HARD', 'SOFT']","[4, 4, 6]"
Baku,"[23, 43]",0.15384910381097755,46.00886640040598,2,"['HARD', 'HARD', 'MEDIUM']","[4, 4, 5]"
Baku,"[24, 43]",0.1538704850202219,45.22524688915911,2,"['HARD', 'HARD', 'MEDIUM']","[4, 4, 5]"
Baku,"[24, 43]",0.1538704850202219,47.76778537240275,2,"['HARD', 'HARD', 'SOFT']","[4, 4, 6]"
Baku,"[21, 43]",0.153919889753098,46.70095592526853,2,"['HARD', 'HARD', 'MEDIUM']","[4, 4, 5]"
Baku,"[21, 43]",0.153919889753098,46.18824726963214,2,"['HARD', 'HARD', 'SOFT']","[4, 4, 6]"
Baku,"[22, 43]",0.15392279111984541,45.406564145955684,2,"['HARD', 'HARD', 'SOFT']","[4, 4, 6]"
Baku,"[22, 43]",0.15392279111984541,45.832499221727105,2,"['HARD', 'HARD', 'MEDIUM']","[4, 4, 5]"
Baku,"[20, 43]",0.15407400107232533,45.557201783234646,2,"['HARD', 'HARD', 'MEDIUM']","[4, 4, 5]"
Baku,"[20, 43]",0.15407400107232533,46.08543197876402,2,"['HARD', 'HARD', 'SOFT']","[4, 4, 6]"
Mexico City,"[18, 40]",-0.07704164832830429,52.01520719076035,2,"['MEDIUM', 'MEDIUM', 'SOFT']","[4, 4, 5]"
Mexico City,"[18, 40]",-0.07704164832830429,56.89544581405785,2,"['SOFT', 'SOFT', 'MEDIUM']","[5, 5, 4]"
Mexico City,"[18, 40]",-0.07704164832830429,39.08794225716965,2,"['SOFT', 'MEDIUM', 'MEDIUM']","[5, 4, 4]"
Mexico City,"[18, 40]",-0.07704164832830429,48.40698298081209,2,"['MEDIUM', 'SOFT', 'SOFT']","[4, 5, 5]"
Mexico City,"[18, 40]",-0.07704164832830429,42.79623622573061,2,"['MEDIUM', 'SOFT', 'MEDIUM']","[4, 5, 4]"
Mexico City,"[18, 40]",-0.07704164832830429,51.45842588533266,2,"['SOFT', 'MEDIUM', 'SOFT']","[5, 4, 5]"
Mexico City,"[17, 40]",-0.07570856064558029,46.677845014887026,2,"['SOFT', 'MEDIUM', 'SOFT']","[5, 4, 5]"
Mexico City,"[17, 40]",-0.07570856064558029,61.754592944575705,2,"['MEDIUM', 'MEDIUM', 'SOFT']","[4, 4, 5]"
Mexico City,"[17, 40]",-0.07570856064558029,56.055736661342664,2,"['MEDIUM', 'SOFT', 'MEDIUM']","[4, 5, 4]"
Mexico City,"[17, 40]",-0.07570856064558029,49.45923626451669,2,"['MEDIUM', 'SOFT', 'SOFT']","[4, 5, 5]"
Jeddah,[18],0.1625135402098996,20.332572633568216,1,"['SOFT', 'HARD']","[5, 3]"
Jeddah,[18],0.1625135402098996,22.1645741264618,1,"['MEDIUM', 'HARD']","[4, 3]"
Jeddah,[15],0.16848305124266594,28.8273799049558,1,"['MEDIUM', 'HARD']","[4, 3]"
Jeddah,[15],0.16848305124266594,27.288513168004098,1,"['SOFT', 'HARD']","[5, 3]"
Jeddah,[19],0.1719617816362901,18.05170925837278,1,"['SOFT', 'HARD']","[5, 3]"
Jeddah,[19],0.1719617816362901,15.866723548003318,1,"['MEDIUM', 'HARD']","[4, 3]"
Jeddah,[16],0.172015067249384,24.605857841643523,1,"['MEDIUM', 'HARD']","[4, 3]"
Jeddah,[16],0.172015067249384,20.3336281005824,1,"['SOFT', 'HARD']","[5, 3]"
Jeddah,[17],0.1748701619288214,24.313567427604404,1,"['SOFT', 'HARD']","[5, 3]"
Jeddah,[17],0.1748701619288214,20.427139971307795,1,"['MEDIUM', 'HARD']","[4, 3]"
Yas Marina Circuit,[35],0.05692005731185791,23.671284269613857,1,"['HARD', 'MEDIUM']","[3, 4]"
Yas Marina Circuit,[35],0.05692005731185791,34.75356869509759,1,"['HARD', 'SOFT']","[3, 5]"
Yas Marina Circuit,[34],0.05813169826574474,26.88676737275643,1,"['HARD', 'MEDIUM']","[3, 4]"
Yas Marina Circuit,[34],0.05813169826574474,24.990976415280137,1,"['HARD', 'SOFT']","[3, 5]"
Yas Marina Circuit,[33],0.059236443329755584,23.949866010692396,1,"['HARD', 'SOFT']","[3, 5]"
Yas Marina Circuit,[33],0.059236443329755584,16.071274930459825,1,"['HARD', 'MEDIUM']","[3, 4]"
Yas Marina Circuit,[32],0.060179574501501305,27.589797582382918,1,"['HARD', 'SOFT']","[3, 5]"
Yas Marina Circuit,[32],0.060179574501501305,21.51288334202871,1,"['HARD', 'MEDIUM']","[3, 4]"
Yas Marina Circuit,[31],0.06119526912257553,29.218628469668666,1,"['HARD', 'SOFT']","[3, 5]"
Yas Marina Circuit,[31],0.06119526912257553,24.98472168739374,1,"['HARD', 'MEDIUM']","[3, 4]"
Las Vegas,[26],-0.0907469168305397,20.134035981488996,1,"['HARD', 'MEDIUM']","[3, 4]"
Las Vegas,[27],-0.08667441457509995,20.549960864281072,1,"['HARD', 'MEDIUM']","[3, 4]"
Las Vegas,[25],-0.08031780272722244,20.07283942833157,1,"['HARD', 'MEDIUM']","[3, 4]"
Las Vegas,[19],-0.07687237858772278,20.743097729353867,1,"['HARD', 'MEDIUM']","[3, 4]"
Las Vegas,[20],-0.07626121491193771,20.01061417690735,1,"['HARD', 'MEDIUM']","[3, 4]"
Las Vegas,[28],-0.07579273730516434,20.57375751579767,1,"['HARD', 'MEDIUM']","[3, 4]"
Las Vegas,[21],-0.0749879851937294,20.91387983794099,1,"['HARD', 'MEDIUM']","[3, 4]"
Las Vegas,[27],-0.07362578064203262,21.959325698540248,1,"['MEDIUM', 'HARD']","[4, 3]"
Las Vegas,[22],-0.0732593834400177,21.502296072636025,1,"['HARD', 'MEDIUM']","[3, 4]"
Las Vegas,[26],-0.07204508781433105,20.608756886305297,1,"['MEDIUM', 'HARD']","[4, 3]"
