Circuit,Strategy,MeanZScore
Catalunya,"[16, 39]",0.2527562081813812
Catalunya,"[10, 42]",0.25279203057289124
Catalunya,"[16, 37]",0.2528182864189148
Catalunya,"[16, 36]",0.2528250813484192
Catalunya,"[15, 34]",0.25285765528678894
Catalunya,"[14, 38]",0.252870112657547
Catalunya,"[31, 45]",0.2528824806213379
Catalunya,"[15, 41]",0.2528891861438751
Catalunya,"[14, 36]",0.25289997458457947
Catalunya,"[14, 39]",0.2529081404209137
Catalunya,"[26, 36]",0.2529330551624298
Catalunya,"[17, 42]",0.2529362440109253
Catalunya,"[32, 46]",0.25294268131256104
Catalunya,"[17, 35]",0.25296321511268616
Catalunya,"[18, 34]",0.2529682219028473
Catalunya,"[14, 37]",0.25297144055366516
Catalunya,"[18, 44]",0.25298941135406494
Catalunya,"[16, 40]",0.25304466485977173
Catalunya,"[21, 33]",0.25304776430130005
Catalunya,"[19, 33]",0.2530665397644043
Catalunya,"[29, 39]",0.25323984026908875
Catalunya,"[16, 41]",0.253328800201416
Catalunya,"[28, 37]",0.253341943025589
Catalunya,"[25, 35]",0.25336790084838867
Catalunya,"[18, 45]",0.25337305665016174
Catalunya,"[14, 35]",0.25339579582214355
Catalunya,"[15, 33]",0.2534033954143524
Catalunya,"[30, 41]",0.2534356117248535
Catalunya,"[19, 47]",0.25344592332839966
Catalunya,"[31, 47]",0.25344762206077576
Catalunya,"[16, 35]",0.2534498870372772
Catalunya,"[15, 31]",0.2535489797592163
Catalunya,"[15, 32]",0.2536673843860626
Catalunya,"[15, 42]",0.2536858320236206
Catalunya,"[20, 32]",0.2537117302417755
Catalunya,"[17, 34]",0.25371357798576355
Catalunya,"[14, 40]",0.25373154878616333
Catalunya,"[31, 44]",0.25378745794296265
Catalunya,"[18, 33]",0.253804475069046
Catalunya,"[22, 33]",0.2538265883922577
Catalunya,"[14, 34]",0.2538564205169678
Catalunya,"[16, 34]",0.25400781631469727
Catalunya,"[10, 43]",0.2540602684020996
Catalunya,"[24, 34]",0.254070520401001
Catalunya,"[13, 38]",0.2541322112083435
Catalunya,"[16, 42]",0.2541334629058838
Catalunya,"[13, 36]",0.254162073135376
Catalunya,"[19, 32]",0.2541791498661041
Catalunya,"[17, 43]",0.25418540835380554
Catalunya,"[28, 48]",0.2542003393173218
Catalunya,"[21, 32]",0.25422805547714233
Catalunya,"[13, 37]",0.25423353910446167
Catalunya,"[14, 31]",0.25428515672683716
Catalunya,"[20, 31]",0.2543528378009796
Catalunya,"[17, 46]",0.25435349345207214
Catalunya,"[14, 33]",0.2543542981147766
Catalunya,"[27, 36]",0.25437358021736145
Catalunya,"[18, 32]",0.2544572055339813
Catalunya,"[14, 32]",0.25445976853370667
